lad_code,transaction_count,median_price_ppd,mean_price_ppd,lower_quartile_ppd,lad_name,region_code,region_name,median_price_ons,median_earnings,affordability_ratio,imd_score_wtd
E06000042,3730,355000.0,374708.1557640751,260000.0,Milton Keynes,E12000008,South East,303000.0,36521.0,9.720434818323705,17.97972419985694
E06000043,3707,410000.0,492991.93390882114,305000.0,Brighton and Hove,E12000008,South East,392555.5,33649.0,12.184611726945825,20.761177788807807
E06000044,2322,255000.0,280753.2329888028,200000.0,Portsmouth,E12000008,South East,239997.5,33015.0,7.723761926397092,26.899213329660206
E06000045,2525,258500.0,268975.5267326733,190000.0,Southampton,E12000008,South East,238000.0,33878.0,7.630320562016648,26.87612642753217
E06000046,2097,260000.0,304062.3051979018,185000.0,Isle of Wight,E12000008,South East,252375.0,26185.0,9.92934886385335,23.294068419383205
E06000047,7561,140000.0,167795.16809945775,87000.0,County Durham,E12000001,North East,123000.0,29393.0,4.763038818766373,26.793214845236555
E06000049,6704,295000.0,363754.45480310265,195000.0,Cheshire East,E12000002,North West,250000.0,33200.0,8.885542168674698,14.475167470575858
E06000050,5146,260000.0,307923.5590750097,185000.0,Cheshire West and Chester,E12000002,North West,228875.0,30636.0,8.4867476171824,18.082550748767027
E06000051,4581,274995.0,313406.0971403624,200000.0,Shropshire,E12000005,West Midlands,250000.0,28397.0,9.683945487199352,17.153275112576107
E06000052,8230,290000.0,349142.61239368166,215000.0,Cornwall,E12000009,South West,270000.0,27006.0,10.73835443975413,23.07167844545443
E06000053,18,381000.0,478861.1111111111,310000.0,Isles of Scilly,E12000009,South West,338000.0,,,12.005
E06000054,7426,316625.0,370360.42243468895,243000.0,Wiltshire,E12000009,South West,297000.0,30000.0,10.554166666666667,13.446568566539963
E06000055,2373,335000.0,373572.0063211125,265000.0,Bedford,E12000006,East of England,300000.0,33148.0,10.106190418728128,18.932257735183878
E06000056,4727,370000.0,398918.7290035964,290000.0,Central Bedfordshire,E12000006,East of England,325000.0,30963.0,11.94974647159513,12.151985507725175
E06000057,5309,210000.0,253581.6645319269,138500.0,Northumberland,E12000001,North East,171000.0,27769.0,7.562389715149988,22.079397312634615
E06000058,5675,335000.0,403178.6230837004,249000.0,"Bournemouth, Christchurch and Poole",E12000009,South West,315000.0,31121.0,10.764435590116,18.173310446188047
E06000059,5984,345000.0,388150.6714572192,253375.0,Dorset,E12000009,South West,325000.0,29292.0,11.77795985251946,15.734857118581438
E06000060,7268,450000.0,565944.7098238856,330000.0,Buckinghamshire,E12000008,South East,425000.0,33367.0,13.48637875745497,10.051630271467765
E06000061,5223,265000.0,291637.7983917289,207000.0,North Northamptonshire,E12000004,East Midlands,230000.0,31027.0,8.540948206400877,19.044277421179576
E06000062,6054,300000.0,336256.0492236538,232702.25,West Northamptonshire,E12000004,East Midlands,268000.0,33147.0,9.050592813829306,17.707906295772837
E06000063,4444,175000.0,205974.1127362736,120000.0,Cumberland,E12000002,North West,,34890.0,5.015763829177415,23.090015561816614
E06000064,3537,240000.0,286650.73112807464,160000.0,Westmorland and Furness,E12000002,North West,,32683.0,7.343267141939235,19.02302661274484
E06000065,10182,270000.0,326413.83952072286,195000.0,North Yorkshire,E12000003,Yorkshire and The Humber,,29288.0,9.218792679595738,14.762178905872277
E06000066,8482,277000.0,320923.8406036312,214125.0,Somerset,E12000009,South West,,29152.0,9.50192096597146,18.55301655363737
E07000008,1238,495786.0,595088.4886914378,375500.0,Cambridge,E12000006,East of England,455000.0,40266.0,12.312770078974818,14.855259142320453
E07000009,1288,350000.0,385114.5108695653,270000.0,East Cambridgeshire,E12000006,East of England,315250.0,30232.0,11.577136808679544,11.506953897679505
E07000010,1548,235000.0,253136.1931524548,190000.0,Fenland,E12000006,East of England,215000.0,27005.0,8.702092205147196,25.426080200475777
E07000011,2889,325000.0,352350.7853928695,249950.0,Huntingdonshire,E12000006,East of England,285000.0,32441.0,10.018186862303876,12.550419673919285
